Residue,Standard,DMD,OPLSAA,amber03,gromos54a7,gmxeditconf,DMDplacement
NTERM,H1,HN1,H1,H1,H1,H1,H1
NTERM,H2,HN2,H2,H2,H2,H2,H2
NTERM,H3,HN3,H3,H3,H3,H3,H3
CTERM,O1,O1,O1,O1,O1,O1,O1
CTERM,HO1,HO1,HO1,HO1,HO1,HO1,HO1
CTERM,O2,O2,O2,O2,O2,O2,O2
CTERM,HO2,HO2,HO2,HO2,HO2,HO2,HO2
ARG,HE,HE,HE,HE,HE,HE,HE
ARG,HH11,1HH1,HH11,HH11,HH11,HH11,HH11
ARG,HH12,1HH2,HH12,HH12,HH12,HH12,HH12
ARG,HH21,2HH1,HH21,HH21,HH21,HH21,HH21
ARG,HH22,2HH2,HH22,HH22,HH22,HH22,HH22
ASP,HD2,2HND,HD2,HD2,HD2,HD2,2HND
CYS,HG,HG1,HG,HG,HG,HG,HG
GLU,HE2,2HNE,HE2,HE2,HE2,HE2,2HNE
HIS,HD1,HD1,HD1,HD1,HD1,HD1,1HND
HIS,HE2,HE2,HE2,HE2,HE2,HE2,2HNE
HISD,HD1,HD1,HD1,HD1,HD1,HD1,1HND
HISE,HE2,HE2,HE2,HE2,HE2,HE2,2HNE
LYS,HZ1,HZ1,HZ1,HZ1,HZ1,HZ1,HZ1
LYS,HZ2,HZ2,HZ2,HZ2,HZ2,HZ2,HZ2
LYS,HZ3,HZ3,HZ3,HZ3,HZ3,HZ3,HZ3
TYR,HH,HO,HH,HH,HH,HH,HO
